1775088000000000,2140.35000000,2140.41000000,2138.48000000,2139.17000000,145.54950000,1775088059999999,311418.44555600,2663,59.95630000,128283.98891800,0
1775088060000000,2139.18000000,2140.65000000,2139.18000000,2140.34000000,92.23000000,1775088119999999,197393.01683800,2296,37.64490000,80560.90199100,0
1775088120000000,2140.34000000,2140.34000000,2137.00000000,2137.91000000,369.59010000,1775088179999999,790232.77963600,3598,187.71090000,401285.31464000,0
1775088180000000,2137.86000000,2138.19000000,2136.09000000,2137.32000000,388.25740000,1775088239999999,829834.34975200,3250,174.81490000,373676.08623400,0
1775088240000000,2137.32000000,2141.17000000,2137.32000000,2138.88000000,175.56140000,1775088299999999,375645.70891000,3655,90.49200000,193624.29141800,0
1775088300000000,2138.87000000,2139.12000000,2137.62000000,2139.07000000,62.34000000,1775088359999999,133305.53222200,1870,28.31400000,60550.82828400,0
1775088360000000,2139.06000000,2140.96000000,2138.26000000,2139.11000000,130.41990000,1775088419999999,279021.49899100,4263,58.94650000,126104.02960500,0
1775088420000000,2139.11000000,2139.75000000,2137.88000000,2138.88000000,167.37970000,1775088479999999,357998.41592600,3479,38.07760000,81436.14532200,0
1775088480000000,2138.88000000,2139.92000000,2138.54000000,2139.33000000,162.31580000,1775088539999999,347229.94052500,2130,81.26490000,173851.24721700,0
1775088540000000,2139.32000000,2139.89000000,2138.29000000,2139.12000000,119.70740000,1775088599999999,256079.96081200,3303,21.91100000,46868.45739700,0
1775088600000000,2139.13000000,2141.81000000,2139.12000000,2139.44000000,280.43030000,1775088659999999,600323.86131800,4693,118.91700000,254578.82681500,0
1775088660000000,2139.44000000,2140.59000000,2138.49000000,2138.85000000,87.78030000,1775088719999999,187815.64628000,2361,28.59490000,61181.24365900,0
1775088720000000,2138.85000000,2139.02000000,2137.50000000,2137.77000000,141.93790000,1775088779999999,303494.77094500,2011,38.68070000,82700.49649500,0
1775088780000000,2137.77000000,2141.22000000,2137.77000000,2140.88000000,84.69230000,1775088839999999,181223.94804800,2453,58.39320000,124935.95274600,0
1775088840000000,2140.87000000,2141.22000000,2139.79000000,2140.17000000,97.70040000,1775088899999999,209123.89571200,1427,10.18830000,21807.53889200,0
1775088900000000,2140.17000000,2140.20000000,2138.71000000,2139.13000000,125.01400000,1775088959999999,267480.56742600,3221,30.00330000,64195.56794700,0
1775088960000000,2139.12000000,2139.93000000,2138.56000000,2139.93000000,47.69370000,1775089019999999,102017.36778700,1805,15.70080000,33584.90223800,0
1775089020000000,2139.92000000,2139.92000000,2137.00000000,2137.74000000,226.45590000,1775089079999999,484232.92874700,3533,73.50050000,157128.01827600,0
1775089080000000,2137.75000000,2142.58000000,2137.74000000,2141.04000000,155.72290000,1775089139999999,333407.55253300,3460,86.03390000,184150.62857200,0
1775089140000000,2141.04000000,2141.04000000,2139.41000000,2141.00000000,125.58680000,1775089199999999,268817.93327900,2940,60.67560000,129872.38578100,0
1775089200000000,2141.00000000,2142.58000000,2140.30000000,2142.57000000,229.44120000,1775089259999999,491351.98290500,3833,132.67390000,284111.16422500,0
1775089260000000,2142.58000000,2143.15000000,2139.60000000,2139.61000000,134.06850000,1775089319999999,287201.13457900,3133,85.55560000,183297.93383600,0
1775089320000000,2139.60000000,2141.21000000,2138.95000000,2140.83000000,75.02950000,1775089379999999,160583.12796200,2151,45.43110000,97242.54313100,0
1775089380000000,2140.82000000,2141.21000000,2137.80000000,2137.81000000,123.37100000,1775089439999999,264009.01511300,2205,18.56650000,39734.48745400,0
1775089440000000,2137.81000000,2139.84000000,2137.66000000,2139.09000000,98.00380000,1775089499999999,209628.78362700,1769,39.78680000,85097.11596700,0
1775089500000000,2139.08000000,2140.39000000,2138.79000000,2140.16000000,152.68260000,1775089559999999,326608.10804200,2132,78.91940000,168818.05235100,0
1775089560000000,2140.16000000,2140.96000000,2139.10000000,2139.21000000,37.94310000,1775089619999999,81203.14394300,1678,12.39440000,26526.85868800,0
1775089620000000,2139.22000000,2139.77000000,2139.03000000,2139.31000000,53.92240000,1775089679999999,115353.45356300,1178,35.22810000,75359.59150100,0
1775089680000000,2139.31000000,2139.37000000,2138.57000000,2138.57000000,30.13100000,1775089739999999,64453.11253100,935,2.93460000,6278.04163100,0
1775089740000000,2138.58000000,2138.58000000,2138.31000000,2138.32000000,32.61060000,1775089799999999,69736.61664200,333,11.21250000,23977.74748800,0
1775089800000000,2138.32000000,2138.44000000,2137.82000000,2138.27000000,74.33460000,1775089859999999,158937.33284300,1739,20.01510000,42796.60045300,0
1775089860000000,2138.28000000,2139.28000000,2137.64000000,2138.30000000,61.39180000,1775089919999999,131280.60017700,2379,25.02020000,53500.28992300,0
1775089920000000,2138.31000000,2139.12000000,2138.21000000,2138.44000000,57.67730000,1775089979999999,123349.87954100,1403,18.57230000,39715.91143800,0
1775089980000000,2138.45000000,2139.57000000,2138.44000000,2139.09000000,100.82690000,1775090039999999,215674.80696700,2563,35.70500000,76368.16271700,0
1775090040000000,2139.10000000,2140.95000000,2139.10000000,2140.29000000,170.27100000,1775090099999999,364427.69535100,2936,38.55710000,82513.38450400,0
1775090100000000,2140.29000000,2140.77000000,2140.13000000,2140.40000000,32.51640000,1775090159999999,69600.41488700,738,11.29370000,24172.38459000,0
1775090160000000,2140.42000000,2140.61000000,2139.16000000,2139.35000000,154.36720000,1775090219999999,330327.45549200,3094,36.67830000,78480.11975500,0
1775090220000000,2139.35000000,2141.17000000,2139.29000000,2141.17000000,88.70830000,1775090279999999,189871.67469500,1714,65.89080000,141034.19981000,0
