1775088000000000,68113.92000000,68113.93000000,68065.01000000,68082.95000000,13.59688000,1775088059999999,925814.12199900,3236,5.96106000,405854.69881090,0
1775088060000000,68082.96000000,68110.78000000,68082.95000000,68105.82000000,5.61931000,1775088119999999,382693.73619040,2071,3.95175000,269121.25414310,0
1775088120000000,68105.83000000,68110.20000000,68061.45000000,68082.80000000,9.48988000,1775088179999999,646019.30514770,3170,2.08471000,141910.48668580,0
1775088180000000,68082.80000000,68087.59000000,68050.00000000,68065.37000000,5.55071000,1775088239999999,377857.81526360,2877,3.83887000,261327.71827500,0
1775088240000000,68065.37000000,68158.47000000,68065.37000000,68122.45000000,9.83260000,1775088299999999,669748.80904460,4670,6.38944000,435181.64248730,0
1775088300000000,68122.45000000,68123.90000000,68090.05000000,68122.85000000,3.43853000,1775088359999999,234197.81014740,2554,1.44194000,98208.63016710,0
1775088360000000,68122.84000000,68167.89000000,68111.33000000,68145.12000000,8.50384000,1775088419999999,579376.09529810,3075,6.59271000,449157.02244870,0
1775088420000000,68145.12000000,68158.64000000,68116.09000000,68143.15000000,6.61234000,1775088479999999,450508.84650540,2136,3.12557000,212963.03820500,0
1775088480000000,68143.15000000,68163.85000000,68136.33000000,68163.84000000,2.95090000,1775088539999999,201109.59586050,1245,2.49934000,170335.66807860,0
1775088540000000,68163.85000000,68172.88000000,68140.06000000,68151.24000000,3.24136000,1775088599999999,220923.25936770,2195,2.02942000,138323.76279210,0
1775088600000000,68151.24000000,68209.99000000,68151.23000000,68188.44000000,13.71595000,1775088659999999,935224.90435770,3751,7.77222000,529909.00545010,0
1775088660000000,68188.62000000,68224.52000000,68174.16000000,68177.41000000,8.34379000,1775088719999999,569084.16213010,2210,6.10749000,416546.79236340,0
1775088720000000,68177.40000000,68183.66000000,68153.76000000,68155.09000000,3.48799000,1775088779999999,237743.90485200,895,2.00055000,136355.98584890,0
1775088780000000,68155.10000000,68227.70000000,68155.10000000,68226.74000000,2.21336000,1775088839999999,150934.29485190,2136,1.73936000,118611.58662820,0
1775088840000000,68226.74000000,68234.21000000,68198.08000000,68208.26000000,2.84633000,1775088899999999,194177.20116450,1295,1.13286000,77280.62950920,0
1775088900000000,68208.27000000,68221.13000000,68192.41000000,68192.41000000,2.11175000,1775088959999999,144035.45122260,2339,0.93625000,63855.83671970,0
1775088960000000,68192.41000000,68214.00000000,68183.39000000,68214.00000000,1.26926000,1775089019999999,86553.86613430,1478,0.88628000,60439.29293050,0
1775089020000000,68213.99000000,68213.99000000,68140.07000000,68152.88000000,2.76491000,1775089079999999,188515.40613830,3008,1.22541000,83542.68038400,0
1775089080000000,68152.88000000,68249.89000000,68145.48000000,68205.28000000,8.68457000,1775089139999999,592401.98839670,4061,6.95723000,474581.39146490,0
1775089140000000,68205.28000000,68205.28000000,68180.92000000,68203.48000000,1.02523000,1775089199999999,69915.34213700,1190,0.51794000,35320.55890950,0
1775089200000000,68203.49000000,68242.72000000,68203.48000000,68242.72000000,6.93733000,1775089259999999,473306.76548220,2443,6.04098000,412149.39431990,0
1775089260000000,68242.73000000,68250.00000000,68209.05000000,68209.05000000,2.50040000,1775089319999999,170608.59579850,1861,1.47811000,100855.41169430,0
1775089320000000,68209.06000000,68255.81000000,68192.24000000,68249.09000000,6.03997000,1775089379999999,412170.72491680,2120,5.46431000,372895.30790160,0
1775089380000000,68249.09000000,68266.66000000,68214.12000000,68214.13000000,3.34679000,1775089439999999,228416.87687360,2266,1.20724000,82397.21959190,0
1775089440000000,68214.13000000,68250.01000000,68211.05000000,68244.01000000,4.60811000,1775089499999999,314403.50285940,1185,4.34714000,296593.85651410,0
1775089500000000,68244.02000000,68261.68000000,68238.08000000,68261.68000000,1.81715000,1775089559999999,124023.08029950,1107,0.68294000,46609.02331530,0
1775089560000000,68261.68000000,68271.19000000,68228.01000000,68240.35000000,14.16280000,1775089619999999,966691.69768000,1580,4.66653000,318453.32164040,0
1775089620000000,68240.36000000,68253.68000000,68231.25000000,68237.89000000,2.99222000,1775089679999999,204191.08919130,1156,1.50595000,102767.56246430,0
1775089680000000,68237.90000000,68248.49000000,68225.90000000,68225.91000000,1.32184000,1775089739999999,90203.95426130,1225,0.57982000,39568.95466620,0
1775089740000000,68225.91000000,68225.91000000,68218.85000000,68218.86000000,0.82117000,1775089799999999,56022.62100660,326,0.43223000,29488.42799970,0
1775089800000000,68218.86000000,68218.86000000,68203.35000000,68208.39000000,2.83342000,1775089859999999,193269.48354140,957,0.46762000,31896.01288520,0
1775089860000000,68208.38000000,68247.99000000,68208.38000000,68228.93000000,2.85869000,1775089919999999,195035.27279100,2100,1.86866000,127485.66237420,0
1775089920000000,68228.93000000,68252.00000000,68228.92000000,68246.76000000,4.93064000,1775089979999999,336479.15082140,1181,4.39437000,299879.70433620,0
1775089980000000,68246.76000000,68258.34000000,68240.32000000,68254.27000000,1.17980000,1775090039999999,80522.51095800,1292,0.55225000,37690.39064350,0
1775090040000000,68254.27000000,68295.96000000,68254.26000000,68293.86000000,7.82639000,1775090099999999,534419.97118610,2168,4.71935000,322233.84792790,0
1775090100000000,68293.86000000,68300.00000000,68276.27000000,68276.27000000,29.07109000,1775090159999999,1985363.09306940,1406,25.72802000,1757058.39479590,0
1775090160000000,68276.28000000,68282.86000000,68254.35000000,68254.36000000,3.17663000,1775090219999999,216853.41047370,2018,1.24282000,84843.08429210,0
1775090220000000,68254.36000000,68282.81000000,68250.10000000,68282.80000000,1.85712000,1775090279999999,126772.92554870,1344,1.29248000,88229.29021140,0
1775090280000000,68282.80000000,68285.85000000,68255.01000000,68255.01000000,3.98544000,1775090339999999,272081.80659770,1236,0.61209000,41791.78508740,0
1775090340000000,68255.02000000,68375.00000000,68255.01000000,68375.00000000,26.84300000,1775090399999999,1833835.99314010,3381,25.18139000,1720315.39705190,0
1775090400000000,68375.00000000,68443.87000000,68350.63000000,68441.14000000,12.64785000,1775090459999999,864951.94372710,3891,10.82176000,740044.37710510,0
1775090460000000,68441.15000000,68492.15000000,68414.91000000,68442.01000000,16.65581000,1775090519999999,1140048.82034340,5573,12.68591000,868275.14631020,0
1775090520000000,68442.00000000,68446.13000000,68402.20000000,68423.94000000,9.46284000,1775090579999999,647489.37924700,3243,4.51082000,308619.65981620,0
1775090580000000,68423.94000000,68437.54000000,68394.68000000,68437.54000000,9.64414000,1775090639999999,659705.51671960,2321,9.14220000,625368.73368050,0
